rgt,cycle,trans_type,lat_req,lon_req,asc_req,lon_actual,lat_actual,asc_actual,trans_file,crr_id,tdif,conflict,priority,accept,,,,
38,0,1,70.879,24.569,1,,,,V2.0,,,,1,y,,,,
38,0,0,-25.598,11.542,1,,,,V2.0,,,,1,y,,,,
38,0,1,-31.662,-174.36,0,,,,V2.0,,,,1,y,,,,
39,0,0,13.555,-179.03,0,,,,V2.0,,,,1,y,,,,
39,0,1,64.554,-1.0326,1,,,,V2.0,,,,1,y,,,,
39,0,0,0.60415,-9.3909,1,,,,V2.0,,,,1,y,,,,
39,0,1,-17.464,160.49,0,,,,V2.0,,,,1,y,,,,
40,0,0,11.794,157.53,0,,,,V2.0,,,,1,y,,,,
40,0,1,54.393,152.38,0,,,,V2.0,,,,1,y,,,,
40,0,0,72.127,147.8,0,,,,V2.0,,,,1,y,,,,
40,0,1,-40.558,139.46,0,,,,V2.0,,,,1,y,,,,
41,0,0,11.8,133.91,0,,,,V2.0,,,,1,y,,,,
41,0,1,27.311,132.29,0,,,,V2.0,,,,1,y,,,,
41,0,0,73.863,123.36,0,,,,V2.0,,,,1,y,,,,
41,0,1,9.4024,-55.746,1,,,,V2.0,,,,1,y,,,,
41,0,0,-42.946,-61.353,1,,,,V2.0,,,,1,y,,,,
41,0,1,-38.491,115.58,0,,,,V2.0,,,,1,y,,,,
42,0,0,77.161,97.653,0,,,,V2.0,,,,1,y,,,,
42,0,1,60.752,-72.779,1,,,,V2.0,,,,1,y,,,,
42,0,0,-11.074,-81.421,1,,,,V2.0,,,,1,y,,,,
43,0,1,15.477,86.299,0,,,,V2.0,,,,1,y,,,,
43,0,0,70.392,77.655,0,,,,V2.0,,,,1,y,,,,
43,0,1,64.084,-95.638,1,,,,V2.0,,,,1,y,,,,
43,0,0,14.053,-102.52,1,,,,V2.0,,,,1,y,,,,
44,0,1,21.551,62.047,0,,,,V2.0,,,,1,y,,,,
44,0,0,68.969,54.538,0,,,,V2.0,,,,1,y,,,,
44,0,1,69.146,-117.79,1,,,,V2.0,,,,1,y,,,,
44,0,0,34.191,-123.97,1,,,,V2.0,,,,1,y,,,,
44,0,1,-15.059,-129.07,1,,,,V2.0,,,,1,y,,,,
44,0,0,-31.328,-130.81,1,,,,V2.0,,,,1,y,,,,
44,0,1,-28.162,43.525,0,,,,V2.0,,,,1,y,,,,
45,0,0,70.699,30.292,0,,,,V2.0,,,,1,y,,,,
45,0,1,69.625,-141.24,1,,,,V2.0,,,,1,y,,,,
45,0,0,55.845,-144.58,1,,,,V2.0,,,,1,y,,,,
45,0,1,13.579,-149.8,1,,,,V2.0,,,,1,y,,,,
45,0,0,-31.483,-154.45,1,,,,V2.0,,,,1,y,,,,
45,0,1,-38.032,21.047,0,,,,V2.0,,,,1,y,,,,
46,0,0,64.694,8.5473,0,,,,V2.0,,,,1,y,,,,
46,0,1,15.814,-173.19,1,,,,V2.0,,,,1,y,,,,
46,0,0,-32.762,-178.21,1,,,,V2.0,,,,1,y,,,,
47,0,1,1.0679,-6.7243,0,,,,V2.0,,,,1,y,,,,
47,0,0,36.721,-10.502,0,,,,V2.0,,,,1,y,,,,
47,0,1,70.407,171.82,1,,,,V2.0,,,,1,y,,,,
47,0,0,55.677,168.16,1,,,,V2.0,,,,1,y,,,,
47,0,1,16.287,163.24,1,,,,V2.0,,,,1,y,,,,
47,0,0,-28.63,158.63,1,,,,V2.0,,,,1,y,,,,
48,0,1,72.295,148.97,1,,,,V2.0,,,,1,y,,,,
48,0,0,32.424,141.36,1,,,,V2.0,,,,1,y,,,,
48,0,1,13.401,139.32,1,,,,V2.0,,,,1,y,,,,
48,0,0,-38.343,133.89,1,,,,V2.0,,,,1,y,,,,
48,0,1,-35.152,-50.154,0,,,,V2.0,,,,1,y,,,,
49,0,0,9.7202,-54.831,0,,,,V2.0,,,,1,y,,,,
49,0,1,43.582,-58.599,0,,,,V2.0,,,,1,y,,,,
49,0,0,59.793,-61.192,0,,,,V2.0,,,,1,y,,,,
49,0,1,73.713,126.02,1,,,,V2.0,,,,1,y,,,,
49,0,0,-12.517,113.1,1,,,,V2.0,,,,1,y,,,,
49,0,1,-59.08,-70.274,0,,,,V2.0,,,,1,y,,,,
49,0,0,-32.447,-74.088,0,,,,V2.0,,,,1,y,,,,
49,0,1,-18.259,-75.625,0,,,,V2.0,,,,1,y,,,,
50,0,0,58.043,-84.462,0,,,,V2.0,,,,1,y,,,,
50,0,1,77.643,104.95,1,,,,V2.0,,,,1,y,,,,
50,0,0,7.328,91.471,1,,,,V2.0,,,,1,y,,,,
51,0,1,13.709,-102.47,0,,,,V2.0,,,,1,y,,,,
51,0,0,65.962,-109.87,0,,,,V2.0,,,,1,y,,,,
51,0,1,69.778,77.097,1,,,,V2.0,,,,1,y,,,,
