rgt,trans_type,lat,lon
113,0,-25.744,40.077
113,1,-31.041,-145.88
114,0,11.459,-150.26
114,1,52.156,-155.08
114,0,70.203,-159.25
114,1,70.733,29.443
114,0,-33.072,15.64
114,1,-32.47,-169.34
115,0,16.583,-174.41
115,1,57.591,2.3885
115,0,1.0954,-4.4104
115,1,-50.56,169.39
116,0,15.789,162.06
116,1,46.915,158.45
116,0,70.854,153.25
116,1,-47.068,145.26
117,0,6.6734,139.36
117,1,30.181,136.9
117,0,72.284,129.04
117,1,8.4454,-50.911
117,0,-40.244,-56.077
117,1,-38.019,120.46
118,0,77.471,102.34
118,1,60.912,-67.812
118,0,38.173,-71.32
118,1,25.401,-72.775
118,0,-18.422,-77.243
119,1,16.427,91.132
119,0,70.699,82.47
119,1,59.813,-91.664
119,0,12.46,-97.746
120,1,19.622,67.18
120,0,68.959,59.473
120,1,68.049,-113.22
120,0,29.091,-119.61
120,1,-18.245,-124.47
120,0,-33.07,-126.08
120,1,-28.49,48.492
121,0,66.745,36.541
121,1,68.996,-136.52
121,0,55.371,-139.73
121,1,3.019,-145.94
121,0,-31.321,-149.5
121,1,-37.241,25.882
122,0,67.38,12.731
122,1,19.656,-167.86
122,0,-32.123,-173.21
123,1,1.2234,-1.8088
123,0,61.843,-9.4606
123,1,20.289,168.59
123,0,-25.28,163.93
124,1,70.891,153.31
124,0,54.729,149.3
124,1,5.7277,143.48
124,0,-40.399,138.57
124,1,-28.478,-45.982
125,0,5.8692,-49.512
125,1,72.146,130.21
125,0,-38.811,115.15
125,1,-53.557,-66.336
126,0,25.387,-75.144
126,1,33.212,-76.014
126,0,57.248,-79.384
126,1,74.82,107.93
126,0,-1.9541,95.473
127,1,12.429,-97.411
127,0,65.487,-104.82
127,1,70.094,82.144
127,0,7.4908,72.8
128,1,33.685,-123.31
128,0,69.615,-129.7
128,1,68.674,58.033
128,0,-29.098,45.42
128,1,-31.035,-140.17
128,0,-1.0114,-143.3
129,1,55.968,-150.01
129,0,70.854,-153.79
129,1,68.995,34.525
129,0,-38.161,20.748
129,1,-31.993,-163.68
130,0,21.381,-169.2
130,1,64.564,9.6116
130,0,2.3745,1.4282
130,1,-46.918,174.56
131,0,18.187,167.52
131,1,51.527,163.48
131,0,70.702,159.02
131,1,-42.47,150.34
132,0,11.153,144.62
132,1,32.894,142.3
132,0,72.127,134.82
132,1,2.3623,-45.811
132,0,-33.727,-49.582
132,1,-36.906,126.03
133,0,74.49,110.04
133,1,62.495,-61.751
133,0,39.764,-65.413
133,1,20.602,-67.574
133,0,-56.088,-76.306
133,1,-6.7592,99.178
134,0,72.909,87.239
134,1,58.223,-86.266
134,0,10.375,-92.246
135,1,6.9839,74.181
135,0,68.803,65.236
135,1,65.2,-108.33
135,0,23.177,-114.54
136,1,3.2997,50.931
136,0,67.695,41.969
136,1,70.416,-130.31
136,0,51.399,-134.67
136,1,-2.9024,-140.82
136,0,-31.322,-143.79
136,1,-35.175,31.346
137,0,70.382,17.433
137,1,70.894,-153.74
137,0,51.714,-158.24
137,1,26.849,-161.39
137,0,-31.804,-167.46
138,1,2.8228,3.7412
138,0,63.427,-4.1157
138,1,14.371,173.68
138,0,-54.182,165.92
139,1,70.86,158.96
139,0,44.385,153.47
139,1,12.284,149.85
139,0,-44.689,143.72
139,1,-25.923,-40.551
140,0,1.227,-43.336
140,1,71.829,135.78
140,0,24.604,127.51
140,1,14.849,126.49
140,0,-37.382,121.03
140,1,-45.165,-61.873
141,0,22.989,-69.178
141,1,38.476,-70.928
141,0,61.054,-74.431
141,1,74.505,113.46
141,0,-7.873,100.59
142,1,10.349,-91.49
142,0,63.587,-98.622
142,1,72.145,88.676
142,0,4.4501,78.205
143,1,26.338,-116.77
143,0,70.069,-124.16
143,1,68.516,63.691
143,0,13.094,55.457
143,1,-31.514,-134.41
143,0,-6.1326,-137.08
144,1,56.45,-144.39
144,0,69.609,-147.61
144,1,66.46,39.449
144,0,-37.212,26.574
144,1,-32.147,-157.96
145,0,26.015,-163.98
145,1,69.625,16.835
145,0,-3.2245,6.5784
145,1,-23.225,177.44
146,0,10.185,174.05
146,1,69.564,165.16
146,0,70.07,164.97
146,1,34.032,-13.15
146,0,6.5329,-16.064
146,1,-16.514,153.12
147,0,13.072,150.14
147,1,55.026,145.0
147,0,72.756,140.25
147,1,0.60518,-40.277
147,0,-26.717,-43.086
147,1,-35.636,131.59
148,0,15.635,126.25
148,1,32.257,124.47
148,0,73.702,116.17
148,1,20.764,-61.847
148,0,-59.087,-71.159
148,1,-11.236,105.34
149,0,76.392,91.017
149,1,54.567,-81.211
149,0,6.5285,-86.923
150,1,2.9841,80.293
150,0,68.013,71.203
150,1,65.36,-102.58
150,0,20.141,-109.15
151,1,13.543,55.608
151,0,68.486,47.43
151,1,70.26,-124.66
151,0,47.107,-129.6
151,1,-8.0178,-135.62
151,0,-31.319,-138.08
151,1,-27.852,36.224
152,0,71.643,22.644
152,1,67.71833024,-149.1338183
152,0,54.1,-152.15
152,1,29.727,-155.36
152,0,-31.959,-161.77
152,1,-8.3709,10.573
153,0,56.766,2.9783
153,1,4.4528,178.39
153,0,-48.164,172.56
154,1,6.3473,-14.52
154,0,36.56,-17.75
154,1,69.656,164.27
154,0,49.799,159.94
154,1,8.1266,155.14
154,0,-45.478,149.32
154,1,-15.872,-35.9
155,0,0.26503,-37.53
155,1,72.461,141.77
155,0,30.038,133.82
155,1,7.809,131.49
155,0,-36.108,126.89
155,1,-41.835,-56.602
156,0,22.028,-63.366
