rgt,trans_type,lat,lon,asc_req
52,0,-22.528299991158793,41.20087413913232,0
52,1,-32.86078582259316,-144.89740187430908,1
53,0,15.899977871961383,-149.93658590575063,0
53,1,40.6675127513042,24.24676359649454,0
53,0,-35.45714362317351,16.140642966608553,0
53,1,-33.20082643139035,-168.4772563742411,1
54,0,15.950000000000001,-173.56,0
54,1,56.631,2.9906999999999995,1
54,0,0.9278299999999999,-3.648399999999999,1
54,1,-51.18599999999999,170.25999999999996,0
54,0,-40.89052404428299,168.8299881544409,0
54,1,-29.14455809887899,167.4442144175239,0
55,0,15.63,162.84999999999997,0
55,1,-46.83263447772109,146.00110193063898,0
56,0,5.3939,140.26999999999998,0
56,1,5.768156608916605,-50.401365416726854,0
56,0,-37.94089350990562,-55.013552884185614,0
56,1,-36.94975165135879,121.10549644824539,1
57,0,44.23936200948253,112.36078001620191,0
57,1,25.054735245540215,-72.03339482604518,1
57,0,-18.903,-76.51399999999998,1
58,1,2.6734000000000004,93.30199999999999,0
58,0,25.979007834886858,90.90456782356004,0
58,1,39.742064548170816,-93.9701200576838,1
58,0,12.450999999999999,-96.968,1
59,1,19.63,67.95799999999998,0
59,0,31.799549409974375,66.63913047090647,0
59,1,34.768899209207255,-118.18812338388105,1
59,0,25.728999999999996,-119.20000000000002,1
59,1,-19.663885757077576,-123.83518369612028,1
59,0,-32.64422464112361,-125.24920987175747,1
59,1,-28.005000000000003,49.217,0
60,0,35.79438972572342,42.55634791262833,0
60,1,4.663008552776138,-144.9926403585203,1
60,0,-32.97845859318386,-148.90818690060587,1
60,1,-37.392999999999994,26.679,0
61,0,41.319808765988114,18.259433006064217,0
61,1,20.454000000000004,-167.0,1
61,0,-31.805,-172.39,1
62,1,1.0642,-1.0141999999999998,0
62,0,65.16899999999998,-9.486499999999998,0
62,1,20.927999999999997,169.43,1
62,0,-26.397,164.59,1
63,1,50.66736427324731,149.4297112676292,1
63,0,39.43070791947123,147.89904905841152,1
63,1,13.940047986422002,145.0889573569202,1
63,0,-41.836,139.16,1
63,1,-28.152,-45.239,0
64,0,3.4758999999999998,-48.493,0
64,1,39.56950122285904,124.29505447667002,1
64,0,-38.501,115.95999999999997,1
64,1,-53.708000000000006,-65.532,0
65,0,23.157,-74.127,0
65,1,32.58100000000001,-75.16299999999998,0
65,0,39.686941390481906,-76.00846321403972,0
65,1,45.45450207987446,101.43903787751466,1
65,0,39.74640922594937,100.69767786273593,1
65,1,26.831580462493452,99.20432504597164,1
65,0,-3.0818,96.139,1
66,1,12.750000000000002,-96.665,0
66,0,41.57791496941364,-99.86355659379987,0
66,1,30.642482734751955,76.00691310057331,1
66,0,7.1056099999999995,73.53967999999999,1
67,1,32.728,-122.41999999999999,0
67,0,46.09410069417506,-124.081593884426,0
67,1,44.006962337103296,54.00700523741623,1
67,0,-29.098999999999993,46.19899999999999,1
67,1,-31.192999999999998,-139.38,0
67,0,-1.8102999999999994,-142.44,0
68,1,42.3684834740765,30.174327102045588,0
68,0,-38.6784910572349,21.463556325949334,0
68,1,-33.11861360672011,-162.77621393764335,1
69,0,18.510000000000005,-168.12,0
